Exhibition,Description,Category,Medium,Admission,Date Range,Start Date,End Date,Place,Link,Address,Latitude,Longitude,Geocoordinates
"Surface Tension by Ken Gonzales-Day: Murals, Signs, and Mark-Making in L.A. ","

This exhibit features more than 100 original photographs that examine how murals contribute to Los Angeles’s unique visual identity and reflect the diversity and creativity of the city’s people.

The Skirball Cultural Center has commissioned Los Angeles-based photographer Ken Gonzales-Day to create a new body of work about the presence of murals throughout the city. Surface Tension by Ken Gonzales-Day: Murals, Signs, and Mark-Making in LA features more than 100 original photographs that examine how murals contribute to Los Angeles’s unique visual identity and reflect the diversity and creativity of the city’s people. Through murals, communities honor their heritage and heroes, graffiti writers declare their presence, activists speak out about issues, and shopkeepers lure customers. In Los Angeles, artists from around the globe make their mark on a rapidly changing cityscape.
",Definitions of Identity," Murals, Photography ",Ticketed,"October 06, 2017 - February 25, 2018 ",10/6/2017,2/25/2018,Skirball Cultural Center ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Surface-Tension-Ken-Gonzalez"">Link to PST Site</a>","2701 N Sepulveda Boulevard
Los Angeles, CA ",34.124832,-118.4791916,"34.124832, -118.4791916"
A Universal History of Infamy: Virtues of Disparity ,"This contemporary art exhibit is structured around themes of 
reproduction and deception, and investigates the shortcomings of 
different systems of writing and transcription.",Critiquing Globalism and Modernism,"Film & Video, Installation, Mixed Media, Painting, Performance, Prints & Drawing, Sculpture",Ticketed,"September 09, 2017 - December 15, 2017",9/9/2017,12/15/2017,18th Street Arts Center,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/virtues-of-disparity"">Link to PST Site</a>","1639 18th Street Santa Monica, CA",34.023855,-118.4777478,"34.023855, -118.4777478"
"Photography in Argentina, 1850–2010: Contradiction and Continuity","Photography played a crucial historical and aesthetic role in producing, and at 
other times dismantling, the Argentinian national imaginary, utopian 
visions, and avant-garde artistic trends. 

Contradiction and Continuity  emphasizes crucial 
historical moments and aesthetic movements in Argentina in which 
photography had a critical role, producing, and at other times 
dismantling, national constructions, utopian visions, and avant-garde 
artistic trends. The exhibition examines the complexities of Argentina 
over the past 150 years, stressing the heterogeneity of its realities, 
the creation of contradictory histories, and the power of constructed 
photographic images in the configuration of a national imaginary. With 
significant works dating from the decade of Argentina’s first 
constitution to the bicentennial of its independence, the exhibition 
will include almost 300 photographs representing the work of more than 
sixty artists.

                                        ",Art and Activism," Film & Video, Installation, Performance, Photography ",Free,"September 16, 2017 - January 28, 2018 ",9/16/2017,1/28/2018,The Getty Center,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Contradiction-and-Continuity-Argentina"">Link to PST Site</a>","1200 Getty Center Drive
Los Angeles, CA ",34.0764496,-118.473884,"34.0764496, -118.473884"
"Photography in Argentina, 1850–2010: Contradiction and Continuity ","

Photography played a crucial historical and aesthetic role in producing, and at other times dismantling, the Argentinian national imaginary, utopian visions, and avant-garde artistic trends.

Contradiction and Continuity emphasizes crucial historical moments and aesthetic movements in Argentina in which photography had a critical role, producing, and at other times dismantling, national constructions, utopian visions, and avant-garde artistic trends. The exhibition examines the complexities of Argentina over the past 150 years, stressing the heterogeneity of its realities, the creation of contradictory histories, and the power of constructed photographic images in the configuration of a national imaginary. With significant works dating from the decade of Argentina’s first constitution to the bicentennial of its independence, the exhibition will include almost 300 photographs representing the work of more than sixty artists.
",Definitions of Identity," Film & Video, Installation, Performance, Photography ",Free,"September 16, 2017 - January 28, 2018 ",9/16/2017,1/28/2018,The Getty Center,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Contradiction-and-Continuity-Argentina"">Link to PST Site</a>","1200 Getty Center Drive
Los Angeles, CA ",34.078396,-118.475139,"34.078396, -118.475139"
Golden Kingdoms: Luxury and Legacy in the Ancient Americas ,"

This international loan exhibition showcases spectacular luxury arts from the royal courts of the Maya, Incas, and Aztecs.

This major international loan exhibition explores the idea of luxury in the pre-Columbian Americas, particularly as seen in the associations between materials and meanings, from about 1000 BC to the arrival of Europeans in the early 16th century. The exhibition will trace the development of metallurgy in the Andes and its expansion northward into Mexico. In contrast with people in other parts of the world, ancient Americans first used metals not for weaponry, tools, or coinage but for objects of ritual and ornament, resulting in works of extraordinary creativity. In addition to objects of gold and silver, the exhibition will feature works of art made from shell, jade, and textiles, materials that would have been considered even more valuable than noble metals. The exhibition will cast new light on the most precious works of art from the ancient Americas and provide new ways of thinking about materials, luxury and the visual arts in a global perspective. The exhibition is co-organized by the J. Paul Getty Museum, the Getty Research Institute, and the Metropolitan Museum of Art, where the exhibition will be on display following the Getty’s presentation.
",Pre-Hispanic to Colonial," Sculpture, Mixed Media, Painting, Prints & Drawing ",Free,"September 16, 2017 - January 28, 2018 ",9/16/2017,1/28/2018,The Getty Center ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Luxury-and-Legacy-in-Ancient-Americas"">Link to PST Site</a>","1200 Getty Center Drive
Los Angeles, CA ",34.077543,-118.475204,"34.077543, -118.475204"
"The Metropolis in Latin America, 1830–1930 The Getty Center","This exhibition offers a visual survey of the unprecedented growth of Latin American capital cities following the seasons of independence.

Drawing on the Getty Research Institute’s special collections, this exhibition proposes a visual survey of the unprecedented growth of Latin American capital cities following the seasons of independence, observing how socio-political upheavals activated major changes in the city scale and the architectural landscape. The Metropolis in Latin America, 1830–1930 examines how imported models were reinterpreted into diverse forms of re-appropriation of the national colonial and pre-Hispanic past, ushering these cities into a process of modernization. During a decolonization progression of longue durée, centuries–old colonial cities were transformed into monumental modern metropolises, which by the end of the 1920s provide fertile ground for the emerging of today’s Latin American megalopolis.",Pre-Hispanic to Colonial," Architecture & Design, Film & Video, Photography, Prints & Drawing ",Free,"September 16, 2017 - January 07, 2018 ",9/16/2017,1/7/2018,The Getty Center ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/The-Metropolis-Latin-America"">Link to PST Site</a>","1200 Getty Center Drive
Los Angeles, CA ",34.076281,-118.475504,"34.076281, -118.475504"
Making Art Concrete: Works from Argentina and Brazil in the Colección Patricia Phelps de Cisneros,"Combining art-historical and scientific analysis, this exhibition examines the formal strategies and material choices of avant-garde painters and sculptors in Argentina and Brazil.

In the years after World War II, artists in Argentina and Brazil experimented with geometric abstraction and engaged in lively debates about the role of the art work in society. Some of these artists experimented with novel synthetic materials, creating objects that offered an alternative to established traditions in painting. They proposed these objects become part of everyday, concrete reality and explored the material and theoretical limits of that proposition. Combining art-historical and scientific analysis, experts from the Getty Conservation Institute and Getty Research Institute have collaborated with the Colección Patricia Phelps de Cisneros, a world-renowned collection of Latin American art, to research the formal strategies and material decisions of artists working in the concrete and Neo-concrete vein, resulting in the first comprehensive technical study of these works. Visitors will see a selection of works by artists including Raúl Lozza, Tomás Maldonado, Rhod Rothfuss, Willys de Castro, Lygia Clark, Hélio Oiticica, and Judith Lauand alongside information about the now-invisible processes that determine the appearance of the works: supports, hanging devices, methods of paint application, and techniques of painting straight edges. A selection of historical documents will shed further light on the social, political, and cultural underpinnings of these artistic propositions.",From Abstract to Conceptual Art,"Painting, Sculpture",Free,"September 16, 2017 - February 11, 2018",9/16/2017,2/11/2018,"
The Getty Center ","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Postwar-Abstraction-in-Argentina-and-Brazil"">Link to PST Site</a>","1200 Getty Center Drive 
Los Angeles, CA",34.077516,-118.474324,"34.077516, -118.474324"
"Radical Women: Latin American Art, 1960–1985 ","

This groundbreaking exhibition will illuminate the contributions of more than 100 women artists from 15 countries who pioneered experimental art forms to create a new emancipated female body.

Hammer Museum will bring to light the extraordinary contributions of women artists from Latin America and those of Latina and Chicana descent in the United States working between 1960 and the mid-1980s, years of radical aesthetic experimentation in art and explosive activism in the women's rights movement. During this key period, women of the region produced pioneering artworks that, in many cases, were realized in harsh political and social conditions. The exhibition will feature works in a range of media, including photography, video, and installation. Among the women included are emblematic figures such as Lygia Clark and Ana Mendieta, alongside lesser-known artists such as the Colombian sculptor Feliza Bursztyn and the U.S.-based photographer Isabel Castro. With an expanded view of Latin America that includes Latina and Chicana artists working in the U.S., Radical Women will explore how the different social, cultural, and political contexts in which these artists worked informed their practices. Featuring works by more than 100 artists from 15 countries, Radical Women will constitute the first genealogy of feminist and radical women's art practices in Latin America and their influence internationally.
",Art and Activism,,Free,"September 15, 2017 - December 31, 2017 ",9/15/2017,12/31/2017,Hammer Museum ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/radical-women-latin-american-art-1960-to-1985"">Link to PST Site</a>","10899 Wilshire Blvd
Los Angeles, CA ",34.0591217,-118.4436674,"34.0591217, -118.4436674"
"Radical Women: Latin American Art, 1960–1985 ","

This groundbreaking exhibition will illuminate the contributions of more than 100 women artists from 15 countries who pioneered experimental art forms to create a new emancipated female body.

Hammer Museum will bring to light the extraordinary contributions of women artists from Latin America and those of Latina and Chicana descent in the United States working between 1960 and the mid-1980s, years of radical aesthetic experimentation in art and explosive activism in the women's rights movement. During this key period, women of the region produced pioneering artworks that, in many cases, were realized in harsh political and social conditions. The exhibition will feature works in a range of media, including photography, video, and installation. Among the women included are emblematic figures such as Lygia Clark and Ana Mendieta, alongside lesser-known artists such as the Colombian sculptor Feliza Bursztyn and the U.S.-based photographer Isabel Castro. With an expanded view of Latin America that includes Latina and Chicana artists working in the U.S., Radical Women will explore how the different social, cultural, and political contexts in which these artists worked informed their practices. Featuring works by more than 100 artists from 15 countries, Radical Women will constitute the first genealogy of feminist and radical women's art practices in Latin America and their influence internationally.
",From Abstract to Conceptual Art,,Free,"September 15, 2017 - December 31, 2017 ",9/15/2017,12/31/2017,Hammer Museum ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/radical-women-latin-american-art-1960-to-1985"">Link to PST Site</a>","10899 Wilshire Blvd
Los Angeles, CA ",34.059548,-118.444311,"34.059548, -118.444311"
"Recuerdos de un cine en español: Latin American Cinema in Los Angeles, 1930-1960","This film exhibition explores the vibrant Spanish-language film culture of Los Angeles, when films from Cuba, Argentina, Mexico, and Hollywood screened in the long-gone movie palaces of LA’s Latino neighborhoods.

Recuerdos de un cine en español: Latin American Cinema in Los Angeles, 1930-1960 will recreate the Spanish-language film culture of downtown Los Angeles with an extensive program of film screenings. Between 1930 and 1960, Los Angeles played host to a vibrant Latin American cinema culture centered on North Main Street’s Mexican-American neighborhoods, where nearby venues such as the Teatro Eléctrico, the California Theatre, and the Million Dollar Theater showed films originating from Mexico, Argentina, and Cuba. Los Angeles was also a center of production and distribution for Spanish language films. Not only have a number of the downtown cinemas been destroyed or fallen out of use, but virtually all of the films have also fallen out of history, often unpreserved or tragically lost. With Recuerdos de un cine en español , audiences and film historians will rediscover Los Angeles as one of the most important hubs in the Western hemisphere for the production, distribution, and exhibition of films made in Spanish for Latin American audiences.",Film/Music/Dance Series,Film & Video,Ticketed,"September 23, 2017 - December 10, 2017
",9/23/2017,12/10/2017,UCLA Film & Television Archive - Billy Wilder Theater,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Latin-America-Cinema-in-Los-Angeles-1930"">Link to PST Site</a>","10899 Wilshire Boulevard,
Los Angeles, CA",34.059344,-118.444043,"34.059344, -118.444043"
Axé Bahia: The Power of Art in an Afro-Brazilian Metropolis ,"

This exploration of art, race, and cultural affiliation in Salvador, Brazil shows the ways influential artists have experienced and responded to the realities of Afro-Brazilian identity in Bahia.

Axé Bahia: The Power of Art in an Afro-Brazilian Metropolis explores the unique cultural role of the city of Salvador, the coastal capital of the Brazilian state of Bahia and one of the oldest cities in the Americas. In the 1940s, Salvador emerged as an internationally renowned center of Afro-Brazilian culture, and it remains to this day an important hub of African-inspired artistic practices in Latin America. The Fowler will present the most comprehensive exhibition in the U.S. to date of the African-inspired arts of Bahia, featuring the work of well-known modernists such as Pierre Verger and Carybé, as well as contemporary artists such as Ayrson Heráclito and Caetano Dias. Including more than 100 works from the mid-20th century to the present, the exhibition will explore the complexities of race and cultural affiliation in Brazil and the ways in which influential artists have experienced and responded creatively to the realities of Afro-Brazilian identity in Bahia.
","Borders, Diaspora & Displacement"," Film & Video, Mixed Media, Murals, Painting, Photography, Prints & Drawing, Sculpture ",Free,"September 24, 2017 - April 15, 2018 ",9/24/2017,4/15/2018,Fowler Museum at UCLA ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/power-of-art-in-an-afro-brazilian-metropolis"">Link to PST Site</a>","308 Charles E Young Drive N
Los Angeles, CA ",34.0729274,-118.442983,"34.0729274, -118.442983"
Lineage through Landscape: Tracing Egun in Brazil by Fran Siegel,"Fran Siegel created a vast, forty-foot-long, irregular “weaving” made of strips of sun-exposed and patterned fabric crossed by lengths of delicate drawings of sacred plants.

Lineage through Landscape: Tracing Egun in Brazil by Fran Siegel is a multifaceted drawing project developed through the Los Angeles-based artist’s research residency in Rio de Janeiro, São Paulo and Itaparica island, a vibrant center of the Afro-Brazilian religion Candomblé. A vast, forty-foot-long, irregular “weaving” made of strips of sun-exposed and patterned fabric crossed by lengths of delicate drawings of sacred plants on translucent drafting film and cyanotypes, the work will wrap around three walls of the Museum’s “Fowler in Focus” Gallery. Finding inspiration in the worship of ancestral spirits, or Egun, in the natural environment associated with Candomblé practices on Itaparica island and in the vexed history of colonialism and slavery in Brazil, Siegel’s project can be read as a highly charged landscape of black Brazil, built from fragments that embrace its African roots. Lineage through Landscape complements the Fowler’s Pacific Standard Time: LA/LA exhibition Axé Bahia: The Power of Art in an Afro-Brazilian Metropolis. ",From Abstract to Conceptual Art,"Installation, Mixed Media, Prints & Drawing, Sculpture",Free,"July 23, 2017 - December 10, 2017",7/23/2017,12/10/2017,Fowler Museum at UCLA,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Lineage-through-Landscape"">Link to PST Site</a>","308 Charles E Young Drive N 
Los Angeles, CA
",34.07299,-118.443573,"34.072990, -118.443573"
"Talking to Action: Art, Pedagogy, and Activism in the Americas","Presented at the Ben Maltz Gallery of Otis College of Art and Design, Talking to Action: Art, Pedagogy, and Activism in the Americas investigates contemporary community-based social art practices in Latin America and Los Angeles. The exhibition will feature a range of practices that blur the lines between object making, political and environmental activism, community organizing, and performance art, through the work of contemporary artists and collectives from Argentina, Brazil, Colombia, Ecuador, Mexico, and the U.S. The social practice artists included in Talking to Action address critical issues such as migration and memory, mapping, environmental problems and policies, gender rights and legislation, indigenous culture, and violence. The exhibition will feature a diverse array of projects, such as an exchange of correspondence between Buenos Aires-based artist Eduardo Molinari and Los Angeles artist Sandra de la Loza about social activism in their respective cities, and the work of the Mexican collective SEFT (Sonda de Exploración Ferroviaria Tripulada), which created a playfully futuristic vehicle to explore disused railroads. Talking to Action builds upon the scholarship of Otis's Graduate Public Practice MFA program.",Art and Activism,,Free,"September 17, 2017 - December 10, 2017 ",9/17/2017,12/10/2017,"Otis College of Art and Design, Ben Maltz Gallery","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Talking-to-Action-Otis"">Link to PST Site</a>","9045 Lincoln Blvd
Los Angeles, CA ",33.9562673,-118.4172967,"33.9562673, -118.4172967"
HOPE,"

This video and conceptual art exhibition will highlight how Cuba, despite its many contradictions, became one of the most interesting places for the creation of contemporary art, and new media art in particular.

Over the last five decades, Cuban artists have used video art to explore the sociological, anthropological, political, spiritual and cultural realities of the island and its purposeful isolation. Their work has explored a country torn by forces such as love and hate, desire and neglect, isolation and receptiveness, as well as western and eastern ideologies. HOPE will highlight how a country full of contradictions became one of the most interesting places for the creation of contemporary art, and new media art in particular, as these artists distinctively melded mainstream models of video art (notably including Hollywood films) with Latin American influences. With its performative and installation-driven approaches, Cuban video art also had a huge effect on the wider field of Latin American contemporary art. HOPE will give an overview of the surprising reciprocal influences of European, U.S. and Latin American video art, from pioneering works of the 1960s and new creative processes in the 1990s until the most recent developments.
",Art and Activism,,Free,"September 17, 2017 - January 28, 2018 ",9/17/2017,1/28/2018,ESMoA ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/HOPE-ESMoA"">Link to PST Site</a>","208 Main Street
El Segundo, CA ",33.9181864,-118.4156457,"33.9181864, -118.4156457"
